Beta;Mach;AoA;Re/1e6;CL;CDo;CDi;CDtot;CDt;CDtot_t;CS;L/D;E;CFx;CFy;CFz;CMx;CMy;CMz;CMl;CMm;CMn;FOpt
0;0;-40;0.135359;-1.3005106;0.0645389155;0.189394881;2.53933796;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-39.75;0.135359;-1.3005106;0.0645389155;0.189394881;2.49265782;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-39.5;0.135359;-1.3005106;0.0645389155;0.189394881;2.44645377;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-39.25;0.135359;-1.3005106;0.0645389155;0.189394881;2.4007258;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-39;0.135359;-1.3005106;0.0645389155;0.189394881;2.35547391;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-38.75;0.135359;-1.3005106;0.0645389155;0.189394881;2.31069811;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-38.5;0.135359;-1.3005106;0.0645389155;0.189394881;2.26639839;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-38.25;0.135359;-1.3005106;0.0645389155;0.189394881;2.22257475;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-38;0.135359;-1.3005106;0.0645389155;0.189394881;2.1792272;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-37.75;0.135359;-1.3005106;0.0645389155;0.189394881;2.13635573;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-37.5;0.135359;-1.3005106;0.0645389155;0.189394881;2.09396034;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-37.25;0.135359;-1.3005106;0.0645389155;0.189394881;2.05204104;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-37;0.135359;-1.3005106;0.0645389155;0.189394881;2.01059782;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-36.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.96963069;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-36.5;0.135359;-1.3005106;0.0645389155;0.189394881;1.92913964;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
